City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,jamestown,42.097,-79.2353,8.9,97,100,2.57,US,2024-04-24
110,leh,34.1667,77.5833,-3.74,66,90,0.94,IN,2024-04-24
111,el bauga,18.262,33.9081,25.86,37,0,3.22,SD,2024-04-24
112,opuwo,-18.0607,13.84,19.76,24,4,3.16,NA,2024-04-24
113,grande prairie,55.1667,-118.8027,13.1,26,75,3.6,CA,2024-04-24
114,mazouna,36.1223,0.8987,7.92,75,0,1.45,DZ,2024-04-24
115,watsa,3.0372,29.5355,17.93,97,76,0.88,CD,2024-04-24
116,sechura,-5.5569,-80.8222,23.33,76,100,5.35,PE,2024-04-24
117,kargil,34.5667,76.1,-2.22,50,74,1.7,IN,2024-04-24
118,cidreira,-30.1811,-50.2056,22.26,88,11,1.6,BR,2024-04-24
119,walvis bay,-22.9575,14.5053,15.29,86,1,1.34,NA,2024-04-24
120,ulaangom,49.9811,92.0667,3.18,44,100,3.26,MN,2024-04-24
121,abadeh,31.1608,52.6506,8.83,83,99,2.79,IR,2024-04-24
122,hanko,59.8333,22.95,1.58,94,38,8.49,FI,2024-04-24
123,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,19,0,5.0,RU,2024-04-24
124,lautoka,-17.6167,177.4667,30.92,70,40,5.14,FJ,2024-04-24
125,udachny,66.4167,112.4,-4.75,95,96,9.19,RU,2024-04-24
126,hamilton,39.1834,-84.5333,13.38,91,100,3.09,US,2024-04-24
127,cartagena del chaira,1.3349,-74.8429,22.96,99,75,0.66,CO,2024-04-24
128,woolgoolga,-30.1106,153.2007,23.93,51,100,1.93,AU,2024-04-24
129,bakchar,57.0186,82.0711,-6.03,64,88,3.65,RU,2024-04-24
130,tolanaro,-25.0319,46.9987,22.0,92,86,2.43,MG,2024-04-24
131,rajanpur,29.1035,70.325,30.16,20,0,2.8,PK,2024-04-24
132,coquimbo,-29.9533,-71.3436,15.56,85,50,0.73,CL,2024-04-24
133,bol'sherech'ye,56.0925,74.6272,-4.97,45,64,4.58,RU,2024-04-24
134,ishikawa,26.4233,127.8214,25.41,81,100,4.12,JP,2024-04-24
135,darwin,-12.4611,130.8418,33.86,56,20,5.14,AU,2024-04-24
136,santa rosa misiones,-26.8667,-56.85,21.69,100,32,2.29,PY,2024-04-24
137,faya-largeau,17.9257,19.1043,31.83,10,3,5.19,TD,2024-04-24
138,namibe,-15.1961,12.1522,24.05,83,55,1.68,AO,2024-04-24
139,holualoa,19.6228,-155.9522,23.91,86,100,3.09,US,2024-04-24
140,alofi,-19.0595,-169.9187,28.94,74,100,2.57,NU,2024-04-24
141,obo,5.3998,26.4869,20.98,85,78,2.29,CF,2024-04-24
142,kalemie,-5.9475,29.1947,22.44,86,100,0.77,CD,2024-04-24
143,alice springs,-23.7,133.8833,21.75,49,40,6.17,AU,2024-04-24
144,deqen,29.9618,90.7188,4.97,30,100,1.0,CN,2024-04-24
145,bubaque,11.2833,-15.8333,25.72,68,26,6.58,GW,2024-04-24
146,iraquara,-12.2486,-41.6194,20.53,95,26,1.74,BR,2024-04-24
147,naze,28.3667,129.4833,20.51,88,100,3.83,JP,2024-04-24
148,morada nova,-5.1067,-38.3725,23.54,93,96,1.91,BR,2024-04-24
149,tyrone,33.4712,-84.5972,17.16,78,0,0.89,US,2024-04-24
